transaction_id,merchant_id,amount,currency,created_at,status,description
a1b2c3d4-e5f6-7890-abcd-ef1234567890,MERCH_001,250.0,BRL,2025-03-15T10:28:00Z,COMPLETED,Venda online - Loja ABC
b2c3d4e5-f6a7-8901-bcde-f12345678901,MERCH_001,89.99,BRL,2025-03-15T11:10:00Z,COMPLETED,Venda presencial - Loja ABC
c3d4e5f6-a7b8-9012-cdef-123456789012,MERCH_002,1500.0,BRL,2025-03-15T11:55:00Z,COMPLETED,Servico mensal - Tech Solutions
d4e5f6a7-b8c9-0123-defa-234567890123,MERCH_002,320.5,BRL,2025-03-15T12:40:00Z,COMPLETED,Consultoria - Tech Solutions
e5f6a7b8-c9d0-1234-efab-345678901234,MERCH_003,75.01,BRL,2025-03-15T13:25:00Z,COMPLETED,Delivery - Restaurante Bom Sabor
f6a7b8c9-d0e1-2345-fabc-456789012345,MERCH_001,199.99,BRL,2025-03-15T13:55:00Z,COMPLETED,Venda online - Loja ABC
a7b8c9d0-e1f2-3456-abcd-567890123456,MERCH_003,450.0,BRL,2025-03-15T14:25:00Z,COMPLETED,Catering - Restaurante Bom Sabor
b8c9d0e1-f2a3-4567-bcde-678901234567,MERCH_002,62.5,BRL,2025-03-15T14:55:00Z,COMPLETED,Suporte tecnico - Tech Solutions
c9d0e1f2-a3b4-5678-cdef-789012345678,MERCH_001,1200.0,BRL,2025-03-15T15:25:00Z,COMPLETED,Venda atacado - Loja ABC
d0e1f2a3-b4c5-6789-defa-890123456789,MERCH_003,33.0,BRL,2025-03-15T15:55:00Z,COMPLETED,Delivery - Restaurante Bom Sabor
e1f2a3b4-c5d6-7890-efab-901234567890,MERCH_002,550.0,BRL,2025-03-15T16:25:00Z,COMPLETED,Projeto especial - Tech Solutions
f2a3b4c5-d6e7-8901-fabc-012345678901,MERCH_001,88.0,BRL,2025-03-15T16:55:00Z,COMPLETED,Venda presencial - Loja ABC
a3b4c5d6-e7f8-9012-abcd-123456789abc,MERCH_003,175.0,BRL,2025-03-15T17:25:00Z,COMPLETED,Evento - Restaurante Bom Sabor
b4c5d6e7-f8a9-0123-bcde-234567890bcd,MERCH_002,1050.0,BRL,2025-03-15T17:55:00Z,COMPLETED,Licenca software - Tech Solutions
c5d6e7f8-a9b0-1234-cdef-345678901cde,MERCH_001,42.0,BRL,2025-03-15T18:25:00Z,COMPLETED,Acessorio - Loja ABC
d6e7f8a9-b0c1-2345-defa-456789012def,MERCH_001,310.0,BRL,2025-03-14T09:00:00Z,COMPLETED,Venda online - Loja ABC
e7f8a9b0-c1d2-3456-efab-567890123efa,MERCH_002,725.0,BRL,2025-03-14T14:30:00Z,COMPLETED,Implantacao - Tech Solutions
f8a9b0c1-d2e3-4567-fabc-678901234fab,MERCH_003,55.9,BRL,2025-03-13T11:00:00Z,COMPLETED,Almoco executivo - Restaurante Bom Sabor
a9b0c1d2-e3f4-5678-abcd-789012345abc,MERCH_001,1899.9,BRL,2025-03-13T16:45:00Z,COMPLETED,Eletronico - Loja ABC
b0c1d2e3-f4a5-6789-bcde-890123456bcd,MERCH_002,480.0,BRL,2025-03-14T10:20:00Z,COMPLETED,Manutencao - Tech Solutions
